id|species|mother_lower_case|father_lower_case|mother_orig_case|father_orig_case
675|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
676|S. ×smithiana Willd. (S. cinerea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
677|S.·×leucopithecia Kimura (S. caprea L. × S. gracilistyla Miq.)|N/A|N/A|N/A|N/A
678|S. ×forbiana Sm. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
679|S. alba L.|N/A|N/A|N/A|N/A
680|S.|s. babylonica l.|s. alba l.|S. babylonica L.|S. alba L.
681|S.|s. babylonica l.|s. alba l.|S. babylonica L.|S. alba L.
682|N/A|N/A|N/A|N/A|N/A
683|S. ×pendulina f. salamonii I.V. Belyaeva (S. babylonica L. × S. ×fragilis f. vitellina I.V. Belyaeva)|N/A|N/A|N/A|N/A
684|S. ×smithiana Willd. (S. cinerea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
685|S. purpurea L.|N/A|N/A|N/A|N/A
686|S.|N/A|N/A|N/A|N/A
687|S.|s. l 78195|s. l 78101|S. ‘L 78195’|S. ‘L 78101’
688|S. purpurea L.|N/A|N/A|N/A|N/A
689|S. viminalis L.|N/A|N/A|N/A|N/A
690|S.|s. schwerinii e.l.wolf|s. gmelinii pall.|S. schwerinii E.L.Wolf|S. gmelinii Pall.
691|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
692|S. purpurea L.|N/A|N/A|N/A|N/A
693|S. alba L.|N/A|N/A|N/A|N/A
694|S.|s. daphnoides vill.|s. ×erdingeri a.kern.|S. daphnoides Vill.|S. ×erdingeri A.Kern.
695|S. triandra L.|N/A|N/A|N/A|N/A
696|S. ×forbiana Sm. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
697|S. ×fragilis f. vitellina (L.) I.V. Belyaeva|N/A|N/A|N/A|N/A
698|S. purpurea L.|N/A|N/A|N/A|N/A
699|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
700|S. viminalis L.|N/A|N/A|N/A|N/A
701|S. ×hirtei Strachler (S. aurita L. × S. cinerea L. × viminalis L.)|N/A|N/A|N/A|N/A
702|S.|s. schwerinii e.l.wolf|s. gmelinii pall.|S. schwerinii E.L.Wolf|S. gmelinii Pall.
703|S. ×pendulina f. salamonii I.V. Belyaeva (S. babylonica L. × S. ×fragilis f. vitellina I.V. Belyaeva)|N/A|N/A|N/A|N/A
704|S.|N/A|N/A|N/A|N/A
705|S. alaxensis (Andersson) Coville|N/A|N/A|N/A|N/A
706|S. purpurea L.|N/A|N/A|N/A|N/A
