id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,plot,ibap,iba,ibamai,batot,ht,stms,Canker
230,9,9,9,20,11,5,5.9,2013,U07m,NM6,55,24%,0.037,0.021,0.19,NA,1,2
231,9,9,9,21,11,NA,6.6,2013,U07m,NM6,NA,21%,0.041,0.026,0.238,NA,1,2
232,9,9,9,1,12,NA,8.3,2013,U07m,NM6,NA,8%,0.027,0.042,0.377,NA,4,2
233,9,9,9,2,12,NA,8.2,2013,U07m,NM6,NA,30%,0.084,0.041,0.367,NA,1,2
234,9,9,9,3,12,NA,6.4,2013,U07m,NM6,NA,3%,0.006,0.024,0.22,NA,2,2
235,9,9,9,4,12,NA,6.4,2013,U07m,NM6,NA,22%,0.04,0.025,0.223,NA,1,2
236,9,9,9,5,12,NA,7.6,2013,U07m,NM6,NA,37%,0.085,0.035,0.315,NA,1,2
237,9,9,9,6,12,NA,8.3,2013,U07m,NM6,NA,0%,0,0.042,0.376,NA,1,2
238,9,9,9,7,12,NA,8.4,2013,U07m,NM6,NA,5%,0.018,0.043,0.385,NA,1,2
239,9,9,9,8,12,NA,8.4,2013,U07m,NM6,NA,57%,0.14,0.043,0.385,NA,1,2
240,9,9,9,9,12,NA,7.3,2013,U07m,NM6,NA,26%,0.06,0.032,0.291,NA,1,2
241,9,9,9,10,12,NA,4.2,2013,U07m,NM6,NA,29%,0.022,0.011,0.096,NA,1,2
242,9,9,9,11,12,NA,8.3,2013,U07m,NM6,NA,16%,0.052,0.042,0.376,NA,1,2
243,9,9,9,12,12,NA,4.6,2013,U07m,NM6,NA,20%,0.019,0.013,0.115,NA,1,2
244,9,9,9,13,12,NA,3.2,2013,U07m,NM6,NA,14%,0.007,0.006,0.056,NA,1,2
245,9,9,9,14,12,NA,7.3,2013,U07m,NM6,NA,16%,0.041,0.033,0.293,NA,3,2
246,9,9,9,15,12,NA,6.2,2013,U07m,NM6,NA,27%,0.045,0.023,0.21,NA,1,2
247,9,9,9,16,12,NA,5.5,2013,U07m,NM6,NA,26%,0.034,0.018,0.165,NA,1,0
248,9,9,9,17,12,6,6.6,2013,U07m,NM6,56,21%,0.041,0.026,0.238,NA,1,2
249,9,9,9,18,12,6,8.3,2013,U07m,NM6,56,8%,0.027,0.042,0.377,NA,4,2
250,9,9,9,19,12,6,8.2,2013,U07m,NM6,56,30%,0.084,0.041,0.367,NA,1,2
251,9,9,9,20,12,6,6.4,2013,U07m,NM6,56,3%,0.006,0.024,0.22,NA,2,2
252,9,9,9,21,12,NA,8.1,2013,U07m,NM6,NA,20%,0.059,0.04,0.358,NA,1,2
253,8,9,9,1,1,1,5,2012,U07m,17XGA04,1,NA,NA,0.017,0.136,32.6,NA,NA
254,8,9,9,2,1,1,2.7,2012,U07m,17XGA04,1,NA,NA,0.005,0.04,27.2,NA,NA
255,8,9,9,3,1,1,7.2,2012,U07m,17XGA04,1,NA,NA,0.035,0.28,39.3,NA,NA
256,8,9,9,4,1,1,3.4,2012,U07m,17XGA04,1,NA,NA,0.008,0.061,35.3,NA,NA
